"Variance","Year"
"3253528.58",2021
"16708330.46",2020
"22272442.61",2019
"45067464.70",2018
"14420639.05",2017
"16179545.56",2016
"12765896.26",2015
"8120586.60",2014
"10663542.28",2013
"6291440.24",2012
"4030380.51",2011
"3458806.75",2010
"3765040.71",2009
"4804192.13",2008
"4394777.48",2007
"4914394.07",2006
"5750042.54",2005
"2842688.85",2004
"4125330.68",2003
"2933903.69",2002
"2015335.27",2001
"2628886.62",2000
"1706246.46",1999
"725129.74",1998
"719948.06",1997
"794882.00",1996
"34243.43",1995
"44852.64",1994
"443769.25",1993
"701231.80",1992
"354528.06",1991
"161295.43",1988
"81873.31",1987
"88332.98",1986
"93.81",1985
"215325.66",1984
"281136.53",1983
"306135.78",1982
"323816.63",1981
"59292.39",1979
"27003.21",1978
"84611.71",1977
"4589.58",1975
"629886.03",1972
"588699.98",1971
"5160563.98",1970
"166131.43",1968
"9275893.35",1967
"2423.99",1966
"27003.21",1965
"7882.29",1963
"1393141.07",1961
"89275.81",1959
"201667.39",1958
"1356047.84",1957
"538179.97",1956
"1095247.49",1955
"3915.91",1951
"93.81",1930
