"State","Average Latitude","Average Longitude"
"AK","61.01895","-148.55679"
"AL","33.48988","-86.38406"
"AR","35.83395","-93.28149"
"AZ","33.43225","-110.88693"
"CA","36.25324","-117.79299"
"CO","39.38780","-105.16120"
"CT","41.39608","-73.15331"
"DC","38.81948","-77.28451"
"DE","38.70534","-76.77470"
"FL","28.31001","-81.97611"
"GA","33.26736","-83.97970"
"HI","21.39594","-156.79544"
"IA","41.48798","-93.83076"
"ID","45.30027","-116.44190"
"IL","40.28478","-89.39647"
"IN","40.10424","-86.11926"
"KS","38.51761","-95.53486"
"KY","37.89599","-85.23590"
"LA","31.17501","-90.83623"
"MA","42.09347","-71.91410"
"MD","38.91906","-77.11493"
"ME","43.45182","-70.89352"
"MI","42.73997","-84.41928"
"MN","45.35854","-93.51305"
"MO","37.77400","-92.92096"
"MS","32.97197","-88.78885"
"MT","46.61459","-113.59823"
"NC","35.56811","-79.61413"
"ND","47.24278","-99.87659"
"NE","40.76975","-98.07177"
"NH","42.99529","-71.39051"
"NJ","40.30614","-74.63739"
"NM","35.09175","-106.56826"
"NV","36.47955","-115.22923"
"NY","42.07834","-75.48040"
"OH","40.44710","-82.84238"
"OK","35.76587","-96.45434"
"OR","44.52579","-121.75949"
"PA","40.54466","-77.21879"
"RI","41.86018","-71.54459"
"SC","34.25160","-80.68736"
"SD","43.68167","-98.87945"
"TN","35.82831","-85.94816"
"TX","30.79036","-98.29864"
"UT","39.53526","-108.88108"
"VA","37.61483","-77.92062"
"VT","43.70143","-73.04794"
"WA","47.24789","-120.85209"
"WI","43.53512","-89.01446"
"WV","39.30850","-80.62801"
"WY","40.19069","-100.87737"
