Local Currency,Calendar Year,Local AVG Salary,AVG Salary USD,Conversion Rate to USD
AUD,2021,78000,58539,1.33
AUD,2022,116000,80398,1.44
AUD,2023,130333,88150,1.48
AUD,2024,120000,80000,1.5
BRL,2021,102000,18907,5.39
BRL,2023,145600,28589,5.09
CAD,2020,108500,80928,1.34
CAD,2021,121300,96751,1.25
CAD,2022,131954,101360,1.3
CAD,2023,134370,99551,1.35
CAD,2024,198406,152619,1.3
CHF,2022,89666,93878,0.96
CHF,2023,103500,113331,0.91
CHF,2024,114000,129545,0.88
DKK,2020,300000,45896,6.54
DKK,2021,150000,23841,6.29
EUR,2020,52107,59427,0.88
EUR,2021,59800,70687,0.85
EUR,2022,58093,61036,0.95
EUR,2023,59190,63906,0.93
EUR,2024,61560,68400,0.9
GBP,2020,77666,99618,0.78
GBP,2021,59181,81401,0.73
GBP,2022,67372,82957,0.81
GBP,2023,69607,85645,0.81
GBP,2024,57212,71515,0.8
NZD,2024,200000,125000,1.6
PLN,2021,145000,37536,3.86
PLN,2022,174000,38987,4.46
PLN,2023,142666,33216,4.3
SGD,2021,123333,91774,1.34
SGD,2022,90000,65257,1.38
SGD,2023,100000,74883,1.34
TRY,2021,215000,24093,8.92
TRY,2023,360000,18381,19.59
