Job Title,Occurence,Unique Titles Total
Data Engineer,3059,149
Data Scientist,2910,149
Data Analyst,2120,149
Machine Learning Engineer,1488,149
Research Scientist,454,149
Analytics Engineer,390,149
Applied Scientist,369,149
Data Architect,347,149
Research Engineer,264,149
Business Intelligence Engineer,218,149
Data Science,185,149
Data Manager,182,149
ML Engineer,154,149
Business Intelligence Analyst,127,149
Machine Learning Scientist,111,149
Data Science Manager,108,149
Research Analyst,103,149
AI Engineer,93,149
BI Developer,82,149
Data Specialist,72,149
Data Science Consultant,72,149
Data Analytics Manager,51,149
Business Intelligence Developer,49,149
Head of Data,47,149
Data Modeler,42,149
Business Intelligence,42,149
BI Analyst,41,149
Decision Scientist,38,149
Director of Data Science,33,149
Computer Vision Engineer,31,149
Machine Learning Infrastructure Engineer,31,149
Data Product Manager,30,149
Data Science Lead,26,149
Data Lead,24,149
Data Quality Analyst,24,149
Data Strategist,24,149
ETL Developer,24,149
Data Developer,24,149
AI Architect,23,149
Data Science Engineer,22,149
AI Scientist,22,149
Machine Learning Researcher,21,149
AI Developer,19,149
Business Data Analyst,19,149
MLOps Engineer,19,149
Data Analytics Lead,17,149
BI Data Analyst,17,149
Data Integration Engineer,16,149
Data Infrastructure Engineer,16,149
Data Operations Engineer,16,149
Data Operations Analyst,16,149
Data Integration Specialist,16,149
Data Science Practitioner,14,149
NLP Engineer,14,149
Business Intelligence Manager,14,149
Prompt Engineer,14,149
Machine Learning Software Engineer,13,149
Applied Data Scientist,12,149
Data Management Analyst,12,149
Insight Analyst,12,149
Data Visualization Specialist,12,149
Deep Learning Engineer,12,149
Applied Machine Learning Scientist,12,149
Head of Data Science,11,149
Cloud Database Engineer,11,149
Principal Data Scientist,10,149
Data Operations Specialist,10,149
Data Management Specialist,9,149
Big Data Engineer,9,149
Data Analytics Consultant,8,149
Lead Data Scientist,8,149
Data Science Director,8,149
Robotics Software Engineer,8,149
Machine Learning Developer,8,149
Head of Machine Learning,6,149
AI Programmer,6,149
Lead Data Engineer,6,149
Data Analytics Specialist,6,149
AI Research Engineer,6,149
Data Analytics Engineer,5,149
Computer Vision Software Engineer,5,149
Product Data Analyst,5,149
Machine Learning Research Engineer,5,149
Machine Learning Operations Engineer,5,149
Data Quality Engineer,5,149
Cloud Data Engineer,4,149
Admin & Data Analyst,4,149
Financial Data Analyst,4,149
Lead Machine Learning Engineer,4,149
Data Visualization Engineer,4,149
Computational Biologist,4,149
Data Integration Developer,4,149
Business Intelligence Lead,4,149
Data Strategy Manager,4,149
Robotics Engineer,4,149
Machine Learning Manager,4,149
Data Operations Associate,4,149
Data Product Owner,4,149
Business Intelligence Specialist,4,149
Lead Data Analyst,3,149
ETL Engineer,3,149
Principal Data Engineer,3,149
AI Product Manager,3,149
Staff Data Analyst,3,149
Principal Machine Learning Engineer,3,149
Software Data Engineer,3,149
Finance Data Analyst,3,149
Applied Machine Learning Engineer,3,149
Data DevOps Engineer,3,149
ML Ops Engineer,2,149
Data Management Consultant,2,149
AI Software Engineer,2,149
Autonomous Vehicle Technician,2,149
Machine Learning Specialist,2,149
Compliance Data Analyst,2,149
Data Visualization Analyst,2,149
Data Operations Manager,2,149
Data Reporting Analyst,2,149
Azure Data Engineer,2,149
AI Research Scientist,2,149
Machine Learning Modeler,2,149
Principal Data Analyst,2,149
Managing Director Data Science,2,149
Business Intelligence Data Analyst,2,149
Data Analyst Lead,2,149
Data Science Analyst,2,149
Data Pipeline Engineer,2,149
Data Quality Manager,2,149
Big Data Architect,2,149
Staff Data Scientist,2,149
Marketing Data Analyst,2,149
Data Scientist Lead,2,149
Data Modeller,2,149
Marketing Data Engineer,1,149
Data Analytics Associate,1,149
Big Data Developer,1,149
Deep Learning Researcher,1,149
Marketing Data Scientist,1,149
Manager Data Management,1,149
Staff Machine Learning Engineer,1,149
BI Data Engineer,1,149
Quantitative Research Analyst,1,149
Data Science Tech Lead,1,149
Consultant Data Engineer,1,149
Analytics Engineering Manager,1,149
AWS Data Architect,1,149
Cloud Data Architect,1,149
Power BI Developer,1,149
Sales Data Analyst,1,149
